gene,ctrl_1,ctrl_2,ctrl_3,trt_1,trt_2,trt_3
GENE0245,166,464,298,300,217,298
GENE0246,71,99,89,78,33,72
GENE0247,41,39,106,33,112,76
GENE0248,59,40,78,32,38,19
GENE0249,85,348,342,362,378,482
GENE0250,60,113,389,92,167,81
GENE0251,127,170,205,159,205,314
GENE0252,49,84,45,31,47,153
GENE0253,192,119,256,99,224,480
GENE0254,17,14,25,4,35,32
GENE0255,313,203,640,345,464,907
GENE0256,135,172,291,112,221,447
GENE0257,263,454,479,256,544,509
GENE0258,245,729,499,260,302,476
GENE0259,3,9,3,3,2,35
GENE0260,382,329,990,564,1108,1192
GENE0261,1540,851,2917,1298,2549,1283
GENE0262,1176,2389,1758,1798,1765,3088
GENE0263,87,114,111,176,170,80
GENE0264,461,871,1483,390,1004,2247
GENE0265,49,44,48,53,36,53
GENE0266,146,108,229,81,508,280
GENE0267,65,201,210,74,177,172
GENE0268,737,1503,1895,626,1566,1686
GENE0269,2442,3511,6732,1838,4152,8739
GENE0270,66,57,127,43,30,77
GENE0271,36,69,117,95,169,97
GENE0272,603,1036,767,669,1212,1570
GENE0273,176,86,239,103,221,174
GENE0274,26,147,135,18,115,73
GENE0275,369,715,551,252,678,671
GENE0276,310,311,270,240,604,291
GENE0277,396,356,525,480,585,780
GENE0278,488,2079,2168,452,583,2084
GENE0279,29,22,40,5,29,25
GENE0280,347,512,789,290,442,546
GENE0281,87,179,194,153,193,179
GENE0282,526,580,542,435,599,1534
GENE0283,658,709,682,595,605,653
GENE0284,108,127,97,141,285,175
GENE0285,5,20,18,16,18,4
GENE0286,39,26,59,19,40,111
GENE0287,957,851,441,449,942,730
GENE0288,134,267,374,122,157,270
GENE0289,70,54,278,85,97,115
GENE0290,68,42,64,31,41,34
GENE0291,15,60,33,57,26,85
GENE0292,4,14,2,0,14,22
GENE0293,36,48,15,20,46,52
GENE0294,85,135,149,63,200,149
GENE0295,33,118,37,50,25,43
GENE0296,953,1601,1272,1145,1513,2610
GENE0297,140,385,414,180,124,422
GENE0298,95,151,318,72,200,607
GENE0299,73,61,95,66,163,40
GENE0300,507,556,476,266,580,636
GENE0301,82,553,266,181,408,271
GENE0302,139,143,114,213,218,189
GENE0303,390,360,535,243,340,913
GENE0304,44,43,21,33,72,137
GENE0305,145,190,170,103,354,312
GENE0306,795,2159,2538,1396,1721,2203
GENE0307,62,59,36,22,46,64
GENE0308,72,205,149,147,317,342
GENE0309,3063,6437,4849,3722,7368,5482
GENE0310,442,774,1145,594,764,790
GENE0311,416,255,522,306,577,630
GENE0312,30,96,54,48,66,49
GENE0313,299,311,606,363,513,579
GENE0314,207,794,468,154,443,722
GENE0315,5,6,7,9,6,9
GENE0316,9,32,12,13,9,17
GENE0317,172,649,354,272,248,272
GENE0318,41,40,96,26,86,94
GENE0319,102,317,307,103,174,147
GENE0320,35,7,45,3,67,97
GENE0321,152,171,273,184,356,665
GENE0322,23,42,76,40,20,43
GENE0323,136,211,185,110,226,271
GENE0324,155,113,173,44,163,117
GENE0325,1106,917,2370,890,1835,2112
GENE0326,68,147,240,99,281,170
GENE0327,233,180,339,135,260,361
GENE0328,889,1452,1304,2758,8927,8699
GENE0329,77,400,343,222,289,265
GENE0330,61,152,77,113,166,141
GENE0331,43,98,29,88,77,21
GENE0332,274,320,324,134,203,253
GENE0333,1,11,9,0,3,1
GENE0334,566,271,1030,430,842,1316
GENE0335,631,1097,920,685,1251,2476
GENE0336,139,209,133,26,187,199
GENE0337,49,44,82,55,33,94
GENE0338,276,539,324,176,492,398
GENE0339,44,173,110,72,90,161
GENE0340,20,26,20,15,60,109
GENE0341,307,365,954,305,1030,739
GENE0342,295,322,450,253,362,353
GENE0343,5,3,6,2,14,10
GENE0344,476,795,666,370,692,882
GENE0345,10,20,15,4,18,27
GENE0346,44,27,44,10,50,14
GENE0347,102,143,337,140,146,230
GENE0348,568,493,571,229,374,449
GENE0349,143,217,572,131,198,531
GENE0350,86,95,70,81,113,136
GENE0351,22,55,55,47,60,26
GENE0352,65,72,105,26,93,43
GENE0353,45,91,69,56,70,77
GENE0354,314,645,760,488,1076,1249
GENE0355,85,150,82,105,84,203
GENE0356,26,102,47,18,52,123
GENE0357,37,266,316,336,586,582
GENE0358,40,31,119,29,96,129
GENE0359,1241,1014,906,592,1172,1032
GENE0360,138,184,264,184,312,385
GENE0361,7,17,21,12,30,17
GENE0362,398,349,839,217,754,397
GENE0363,169,293,270,72,144,375
GENE0364,118,79,88,59,33,133
GENE0365,88,57,69,96,75,197
GENE0366,112,144,61,48,121,107
GENE0367,149,368,250,67,270,163
GENE0368,18,75,123,20,63,67
GENE0369,262,620,581,168,486,540
GENE0370,5,30,26,19,89,8
GENE0371,125,379,305,134,397,281
GENE0372,750,1045,1147,478,2434,1299
GENE0373,143,153,385,305,429,324
GENE0374,1527,2315,4693,2091,2722,2245
GENE0375,330,265,558,262,490,780
GENE0376,604,924,2226,586,999,1642
GENE0377,990,1043,1571,676,1069,1681
GENE0378,235,540,402,104,260,264
GENE0379,504,1325,1785,948,1860,1842
GENE0380,248,336,179,213,292,384
GENE0381,13,28,45,57,129,251
GENE0382,1071,3050,4127,1653,2617,4823
GENE0383,167,661,808,107,344,751
GENE0384,103,347,398,300,322,402
GENE0385,24,67,157,45,42,47
GENE0386,197,136,376,95,174,207
GENE0387,107,577,98,215,139,135
GENE0388,1737,2360,3526,1916,3918,4021
GENE0389,356,404,630,357,453,641
GENE0390,102,204,337,247,156,315
GENE0391,246,450,537,502,651,888
GENE0392,13,43,21,17,88,28
GENE0393,20,42,16,29,33,48
GENE0394,84,101,250,56,57,135
GENE0395,1017,3792,2913,2424,2624,1504
GENE0396,324,950,1568,453,639,719
GENE0397,445,605,604,178,617,652
GENE0398,430,568,1157,437,707,798
GENE0399,452,813,1146,878,527,772
GENE0400,4956,5655,6061,4381,11145,5433
GENE0401,217,285,276,106,167,687
GENE0402,191,341,242,112,340,292
GENE0403,36,17,151,37,135,36
GENE0404,191,282,465,353,1952,803
GENE0405,4,37,23,12,98,30
GENE0406,286,402,260,192,517,401
GENE0407,41,47,110,81,95,68
GENE0408,540,450,1192,284,522,894
GENE0409,1100,1857,2853,2299,2510,3319
GENE0410,237,228,223,137,295,502
GENE0411,89,162,145,55,110,164
GENE0412,23,7,51,8,19,28
GENE0413,21,48,33,14,23,61
GENE0414,21,50,37,35,57,89
GENE0415,48,36,125,71,37,44
GENE0416,111,27,178,81,93,189
GENE0417,1,12,35,2,23,24
GENE0418,222,674,727,397,804,607
GENE0419,91,249,154,83,184,380
GENE0420,387,525,646,206,549,575
GENE0421,2,1,17,4,9,9
GENE0422,338,623,866,807,784,1007
GENE0423,54,108,115,70,56,249
GENE0424,12,18,26,27,24,13
GENE0425,128,206,295,121,209,265
GENE0426,713,2322,1445,553,1954,2235
GENE0427,168,119,250,282,129,301
GENE0428,9,63,62,2,5,35
GENE0429,123,272,420,136,270,256
GENE0430,126,221,490,97,208,155
GENE0431,1021,2187,4358,1607,2565,2602
GENE0432,26,21,96,38,106,82
GENE0433,200,92,700,87,132,484
GENE0434,54,53,46,24,26,28
GENE0435,264,445,1020,485,623,1440
GENE0436,405,942,1398,407,1413,633
GENE0437,707,1178,782,903,1195,1882
GENE0438,116,100,137,185,391,425
GENE0439,2726,2807,5324,2270,3333,6477
GENE0440,820,1412,3059,856,1162,1728
GENE0441,30,32,113,39,50,39
GENE0442,40,142,195,94,120,229
GENE0443,193,292,383,208,312,720
GENE0444,203,152,202,90,215,173
GENE0445,458,1362,2173,915,1202,1176
GENE0446,73,48,254,63,162,316
GENE0447,164,565,815,276,366,699
GENE0448,222,230,543,244,387,388
GENE0449,36,108,97,71,234,148
GENE0450,301,608,1099,498,541,676
GENE0451,178,256,262,270,269,487
GENE0452,279,325,317,113,213,317
GENE0453,90,142,99,57,108,93
GENE0454,205,207,118,137,100,114
GENE0455,431,562,510,235,278,818
GENE0456,521,966,2125,799,1438,1092
GENE0457,72,51,144,190,162,92
GENE0458,270,662,299,400,703,666
GENE0459,277,138,392,123,704,458
GENE0460,79,134,251,66,64,236
GENE0461,1018,891,987,1056,1634,1670
GENE0462,38,17,58,0,28,30
GENE0463,789,638,1300,574,595,1150
GENE0464,151,226,177,249,136,293
GENE0465,15,46,33,28,29,29
GENE0466,15,15,9,3,8,9
GENE0467,17,54,30,29,48,34
GENE0468,23,134,127,35,40,120
GENE0469,6323,7700,9947,6643,8811,14103
GENE0470,12,4,38,40,56,36
GENE0471,2967,7219,8016,3556,3671,11310
GENE0472,9,2,25,4,4,14
GENE0473,89,123,134,49,90,173
GENE0474,37,42,52,56,52,130
GENE0475,269,905,1454,591,1562,809
GENE0476,1597,1559,2319,873,2124,1599
GENE0477,40,82,126,29,61,57
GENE0478,522,628,601,172,685,544
GENE0479,15,41,28,23,28,88
GENE0480,10,93,132,48,80,190
GENE0481,0,4,0,4,7,3
GENE0482,53,46,71,18,52,34
GENE0483,7,5,2,7,11,13
GENE0484,283,335,333,214,379,232
GENE0485,305,585,662,275,329,540
GENE0486,32,23,74,11,83,39
GENE0487,93,80,36,78,118,60
GENE0488,38,51,55,17,42,109
GENE0489,54,81,113,60,72,113
GENE0490,172,609,566,266,360,599
GENE0491,27,49,125,21,44,67
GENE0492,133,109,285,121,131,120
GENE0493,101,241,131,89,97,236
GENE0494,38,106,132,56,107,112
GENE0495,104,79,107,122,138,198
GENE0496,88,179,224,139,238,51
GENE0497,1669,1730,2641,721,1665,1633
GENE0498,120,155,145,56,123,239
GENE0499,58,80,258,69,52,186
GENE0500,150,225,475,176,381,245
GENE0501,58,329,458,321,301,675
GENE0502,23,50,33,26,70,45
GENE0503,17,15,12,14,32,43
GENE0504,130,170,199,77,98,54
GENE0505,579,1580,3411,1023,1278,1369
GENE0506,106,148,306,169,274,197
GENE0507,892,1205,2516,733,1928,2458
GENE0508,189,481,229,119,563,206
GENE0509,960,2586,2477,1308,2501,2795
GENE0510,471,399,490,214,687,966
GENE0511,55,43,199,75,56,139
GENE0512,1152,1454,2298,522,545,1267
GENE0513,11,13,11,16,19,21
GENE0514,128,126,238,59,196,286
GENE0515,208,413,382,225,399,787
GENE0516,19,28,22,21,35,11
GENE0517,181,301,302,188,181,286
GENE0518,28,39,85,13,23,65
GENE0519,105,178,188,120,197,197
GENE0520,49,17,89,10,54,114
GENE0521,33,50,87,66,115,86
GENE0522,197,220,216,67,228,397
GENE0523,1634,3412,1877,1732,2844,3430
GENE0524,70,44,90,58,97,103
GENE0525,67,173,144,108,209,291
GENE0526,133,113,158,96,250,442
GENE0527,24,53,41,8,73,61
GENE0528,11,25,22,4,36,10
GENE0529,1861,2474,2591,1124,1693,2018
GENE0530,101,364,163,1113,992,875
GENE0531,113,210,156,70,134,231
GENE0532,578,207,1002,230,530,436
GENE0533,5,70,42,6,12,56
GENE0534,15,22,8,10,28,8
GENE0535,30,27,90,88,23,114
GENE0536,652,679,1464,725,1327,1589
GENE0537,162,335,310,301,494,350
GENE0538,992,1134,816,840,1416,3108
GENE0539,162,193,566,215,422,370
GENE0540,44,19,46,13,24,99
GENE0541,859,1568,1216,588,1044,1246
GENE0542,1963,2898,3051,1479,2170,1919
GENE0543,11,17,40,16,60,56
GENE0544,9,16,32,3,17,37
GENE0545,229,506,884,378,501,635
GENE0546,735,1078,1281,989,1751,2318
GENE0547,359,770,808,705,704,612
GENE0548,1611,2016,2234,820,1783,2369
GENE0549,27,15,3,16,43,93
GENE0550,4062,4251,10294,1311,7487,6125
GENE0551,16,21,61,14,62,48
GENE0552,934,1691,1601,212,420,364
GENE0553,567,972,1986,741,1391,2101
GENE0554,709,505,924,703,1142,1428
GENE0555,25,68,101,29,55,101
GENE0556,367,603,477,353,443,819
GENE0557,3335,3720,2802,2448,3880,5482
GENE0558,8,3,12,5,4,7
GENE0559,1729,3884,4391,2408,6187,5345
GENE0560,110,82,73,156,170,306
GENE0561,7688,6284,14718,6345,9814,10981
GENE0562,356,249,329,283,545,570
GENE0563,792,1334,1001,419,1161,867
GENE0564,781,1622,2516,1193,1604,1861
GENE0565,44,50,53,55,245,365
GENE0566,579,893,963,288,708,1097
GENE0567,37,16,52,18,25,29
GENE0568,87,128,106,27,62,182
GENE0569,99,357,245,64,70,75
GENE0570,132,130,188,148,183,51
GENE0571,667,785,1678,460,992,2204
GENE0572,60,61,33,101,117,118
GENE0573,33,87,99,96,105,183
GENE0574,644,999,1467,591,642,935
GENE0575,619,1122,974,641,632,1404
GENE0576,493,717,1032,728,1752,2503
GENE0577,239,264,397,107,194,414
GENE0578,687,3531,2207,698,3015,2726
GENE0579,530,1069,628,653,2373,1951
GENE0580,433,369,489,646,573,1105
GENE0581,3304,2050,3900,1844,3525,4941
GENE0582,2219,4706,2303,1711,1964,1978
GENE0583,218,158,186,170,292,322
GENE0584,146,412,241,356,315,533
GENE0585,77,162,152,138,90,292
GENE0586,79,115,153,50,130,179
GENE0587,99,219,216,239,438,446
GENE0588,318,432,364,346,702,516
GENE0589,43,109,152,46,56,162
GENE0590,26,56,76,62,67,129
GENE0591,9,31,15,5,23,2
GENE0592,8,15,46,37,51,147
GENE0593,38,78,140,29,57,110
GENE0594,47,325,243,100,247,335
GENE0595,1289,2685,3612,1998,3633,4632
GENE0596,507,553,545,391,784,573
GENE0597,140,143,286,158,417,264
GENE0598,5,39,19,4,25,18
GENE0599,162,206,169,104,221,249
GENE0600,826,905,547,398,1348,1065
GENE0601,396,105,482,232,206,314
GENE0602,7,8,12,7,12,28
GENE0603,197,553,517,373,737,346
GENE0604,64,22,56,22,21,177
GENE0605,39,97,71,36,15,131
GENE0606,5,16,8,0,0,15
GENE0607,2160,3429,1969,965,3272,2826
GENE0608,429,1367,1073,708,1359,1886
GENE0609,69,114,191,90,190,119
GENE0610,537,1606,898,885,831,1192
GENE0611,11,94,44,12,16,46
GENE0612,772,868,1882,1695,3805,3011
GENE0613,60,58,38,56,89,117
GENE0614,204,168,152,83,142,128
GENE0615,61,317,223,48,114,224
GENE0616,641,886,1417,712,1119,1564
GENE0617,49,29,18,32,42,9
GENE0618,579,1430,1927,1224,1228,2581
GENE0619,320,510,364,668,661,1260
GENE0620,320,634,710,918,2952,4133
GENE0621,8,23,31,15,32,75
GENE0622,2118,1847,3890,2794,2316,4493
GENE0623,43,130,32,38,38,138
GENE0624,143,35,229,84,157,189
GENE0625,76,109,92,31,81,162
GENE0626,272,326,220,158,257,197
GENE0627,6,2,21,4,9,33
GENE0628,583,617,504,161,485,408
GENE0629,83,124,40,81,116,165
GENE0630,286,919,571,503,402,687
GENE0631,750,1535,1285,698,1377,995
GENE0632,197,227,534,163,399,202
GENE0633,87,185,315,181,261,225
GENE0634,192,178,160,96,294,129
GENE0635,53,104,200,81,47,135
GENE0636,124,436,358,139,293,317
GENE0637,266,492,535,202,498,1147
GENE0638,3966,6011,5422,3633,8173,8001
GENE0639,378,140,553,252,289,520
GENE0640,194,368,463,254,337,439
GENE0641,611,419,1027,566,1179,960
GENE0642,66,16,29,42,83,127
GENE0643,35,40,56,47,91,38
GENE0644,110,91,112,80,303,106
GENE0645,96,198,131,35,171,289
GENE0646,148,87,225,106,164,290
GENE0647,8,28,60,28,33,74
GENE0648,196,508,254,86,486,474
GENE0649,37,33,26,41,46,51
GENE0650,487,297,370,276,465,907
GENE0651,70,103,78,69,97,270
GENE0652,151,279,436,322,152,534
GENE0653,143,286,491,184,192,222
GENE0654,16,3,12,5,24,7
GENE0655,69,121,227,135,143,42
GENE0656,38,19,51,46,32,39
GENE0657,5456,8880,5733,3898,5569,10315
GENE0658,1,7,13,5,12,49
GENE0659,952,1958,1714,853,1428,2957
GENE0660,5,1,5,2,12,7
GENE0661,3467,5710,7969,3869,8174,9253
GENE0662,237,396,608,388,463,593
GENE0663,137,149,254,83,177,243
GENE0664,43,60,31,34,30,115
GENE0665,83,90,21,88,90,81
GENE0666,7,22,13,19,15,30
GENE0667,1168,1984,1775,1290,1243,2642
GENE0668,39,106,223,67,60,68
GENE0669,185,510,279,255,634,395
GENE0670,116,156,123,31,75,82
GENE0671,457,655,588,554,481,796
GENE0672,981,2046,1464,962,912,2121
GENE0673,116,78,173,82,196,129
GENE0674,7,21,11,16,18,47
GENE0675,42,158,139,42,69,126
GENE0676,16,9,22,15,21,26
GENE0677,141,242,169,28,184,258
GENE0678,194,285,411,257,203,205
GENE0679,213,233,333,69,323,506
GENE0680,2252,3062,4113,2415,2837,3066
GENE0681,969,1924,1604,674,1265,1247
GENE0682,285,509,1088,352,1124,713
GENE0683,37,46,15,19,19,37
GENE0684,229,664,722,388,373,419
GENE0685,232,359,446,181,207,542
GENE0686,461,611,523,418,1032,1335
GENE0687,525,770,407,223,504,721
GENE0688,4829,5046,10712,4244,7320,7863
GENE0689,496,835,691,499,677,1132
GENE0690,1305,884,1846,586,1198,1200
GENE0691,2033,2388,3797,2334,3988,3986
GENE0692,5,6,15,2,10,14
GENE0693,101,90,96,71,79,119
GENE0694,10,10,22,42,11,87
GENE0695,15,65,14,30,38,101
GENE0696,117,134,144,84,132,161
GENE0697,202,736,610,499,988,1095
GENE0698,750,758,1353,678,1793,1372
GENE0699,312,1029,292,312,894,472
GENE0700,4857,5458,10698,6544,9407,9719
GENE0701,15,54,51,2,6,10
GENE0702,153,131,136,39,124,130
GENE0703,183,197,389,215,210,521
GENE0704,39,29,54,48,56,118
GENE0705,31,103,73,53,76,75
GENE0706,2130,4231,3301,3570,4021,6044
GENE0707,32,38,113,86,55,174
GENE0708,72,154,165,64,125,290
GENE0709,24,43,32,23,12,18
GENE0710,21,60,36,14,43,41
GENE0711,82,75,69,47,63,148
GENE0712,4,6,16,7,14,2
GENE0713,77,164,356,74,131,304
GENE0714,1865,6088,6656,1922,3446,7399
GENE0715,108,117,165,104,73,232
GENE0716,45,32,121,30,74,62
GENE0717,275,504,356,133,232,437
GENE0718,6,46,8,22,27,78
GENE0719,40,17,30,10,32,3
GENE0720,2,7,26,19,12,36
GENE0721,186,121,353,208,325,243
GENE0722,1028,1732,914,884,1175,1475
GENE0723,110,138,216,83,224,252
GENE0724,16,27,14,3,19,30
GENE0725,27,104,60,51,46,80
GENE0726,137,122,90,180,133,165
GENE0727,865,1318,3743,1189,2773,2689
GENE0728,775,1373,2087,1169,1322,1181
GENE0729,1564,1470,2645,1406,1602,4213
GENE0730,714,969,967,773,785,1866
GENE0731,52,83,109,105,89,102
GENE0732,368,457,707,501,661,597
GENE0733,435,689,410,497,450,406
GENE0734,248,357,260,257,188,408
