gene,mean_expression,log2_fold_change,p_value,adjusted_p_value,called
GENE0950,103.3133,-1.2930,0.0159597,0.628175,False
GENE1003,287.6266,-1.4702,0.0176528,0.671793,False
GENE0572,82.7013,1.4441,0.018269,0.671793,False
GENE0014,320.7787,-0.6145,0.018303,0.671793,False
GENE0807,1496.8601,0.7390,0.0186229,0.671793,False
GENE1328,682.3515,-0.3968,0.0187747,0.671793,False
GENE1762,69.6457,-0.4485,0.0198566,0.697819,False
GENE1970,281.8364,-0.9331,0.0208907,0.711659,False
GENE0391,513.5898,0.7302,0.0216119,0.711659,False
GENE0113,69.9835,-1.6234,0.0218455,0.711659,False
GENE0163,104.0153,-0.6251,0.0223371,0.711659,False
GENE1096,1215.2179,0.6746,0.0237739,0.711659,False
GENE0210,160.7842,-1.4625,0.0241081,0.711659,False
GENE1599,5946.2064,-0.7664,0.0249215,0.711659,False
GENE0438,210.1042,1.3530,0.0249291,0.711659,False
GENE1202,1016.9822,-1.9403,0.0252467,0.711659,False
GENE1799,49.4754,-0.6425,0.0258019,0.711659,False
GENE0208,43.1531,-1.5266,0.0261243,0.711659,False
GENE1831,20.5965,-1.4029,0.026126,0.711659,False
GENE1205,497.8844,0.5379,0.0264431,0.711659,False
GENE1060,91.6662,-0.7976,0.0266558,0.711659,False
GENE1680,55.6807,-1.3766,0.0267316,0.711659,False
GENE1178,55.9431,1.1206,0.0268946,0.711659,False
GENE0876,16.1389,-2.3686,0.0274533,0.711659,False
GENE0332,246.0162,-0.6429,0.0277274,0.711659,False
GENE0543,29.2116,0.5433,0.0280456,0.711659,False
GENE1659,130.2342,-1.4744,0.0282342,0.711659,False
GENE1121,6277.1671,-0.7586,0.0283292,0.711659,False
GENE1192,317.6843,-1.0077,0.0289534,0.711659,False
GENE1081,392.3815,1.3451,0.0300778,0.711659,False
GENE1080,9.4621,1.0761,0.0305737,0.711659,False
GENE0006,4423.1442,-0.9140,0.0307749,0.711659,False
GENE1897,637.1377,-2.3371,0.0310826,0.711659,False
GENE0227,351.7726,-1.7358,0.0315346,0.711659,False
GENE1035,381.5524,2.1331,0.0316941,0.711659,False
GENE1975,664.3864,-1.3376,0.0319821,0.711659,False
GENE1587,112.2119,3.4189,0.0324678,0.711659,False
GENE1036,219.0531,-1.6795,0.0325942,0.711659,False
GENE1279,113.9526,-1.0949,0.0329627,0.711659,False
GENE1428,69.1332,0.7945,0.0330766,0.711659,False
GENE1237,1316.6109,-0.5865,0.0336664,0.711659,False
GENE1594,87.0193,-2.3683,0.0344543,0.711659,False
GENE1779,356.9755,1.2592,0.0347799,0.711659,False
GENE0765,1141.3144,-0.2450,0.035013,0.711659,False
GENE1207,82.5029,-2.0002,0.0351543,0.711659,False
GENE1243,1206.4686,0.4568,0.0352573,0.711659,False
GENE0890,33.8001,-0.5277,0.03541,0.711659,False
GENE1652,47.6274,1.0803,0.0357697,0.711659,False
GENE0096,6.6809,-2.0025,0.0357838,0.711659,False
GENE1076,38.4630,1.2730,0.0361379,0.711659,False
GENE0842,85.9842,1.9497,0.0366619,0.711659,False
GENE0670,94.7530,-1.1840,0.0370872,0.711659,False
GENE0612,1858.1846,1.1319,0.0374952,0.711659,False
GENE0706,3717.1130,0.5983,0.0378986,0.711659,False
GENE1040,111.8453,-2.0660,0.0380451,0.711659,False
GENE0477,60.4492,-0.8403,0.0390402,0.711659,False
GENE1822,420.5627,0.8253,0.0391775,0.711659,False
GENE1574,24.2644,0.7640,0.03918,0.711659,False
GENE1426,208.0802,-0.6738,0.0393585,0.711659,False
GENE0354,686.6746,0.5463,0.0396467,0.711659,False
GENE1678,1591.3792,0.5144,0.0397777,0.711659,False
GENE1541,440.8835,0.7055,0.0406926,0.721469,False
GENE0970,173.4480,-0.5149,0.0413677,0.726889,False
GENE0074,395.8017,-0.8988,0.0425429,0.739224,False
GENE1474,222.7516,-1.1753,0.0428209,0.739224,False
GENE0198,20.4014,-0.7224,0.0451398,0.753897,False
GENE0302,174.2141,0.8921,0.0455752,0.753897,False
GENE1097,238.3237,-1.8585,0.045723,0.753897,False
GENE1507,177.1036,-1.2189,0.0458927,0.753897,False
GENE1089,10.5299,0.9006,0.0460981,0.753897,False
GENE0766,281.7233,1.3164,0.0464495,0.753897,False
GENE0497,1597.9793,-0.7735,0.0471104,0.753897,False
GENE1885,172.1584,0.5960,0.0472371,0.753897,False
GENE0057,259.4010,-1.0423,0.0474636,0.753897,False
GENE0434,39.5556,-0.7569,0.0476067,0.753897,False
GENE0512,1139.9597,-1.2034,0.0478847,0.753897,False
GENE0997,3634.0898,0.8129,0.0484203,0.756278,False
GENE1869,158.8306,0.8200,0.0496881,0.76997,False
GENE0858,278.3422,-0.8426,0.050935,0.780572,False
GENE0832,44.3229,0.5595,0.0519368,0.780572,False
GENE0569,143.7563,-1.4589,0.0521319,0.780572,False
GENE0779,288.8641,0.8326,0.0527547,0.780572,False
GENE0378,282.6087,-1.0087,0.0527599,0.780572,False
GENE1990,613.0609,-0.9508,0.0530242,0.780572,False
GENE0491,48.9683,-0.7981,0.0533252,0.780572,False
GENE1663,656.8341,-0.6323,0.0535453,0.780572,False
GENE0070,214.2739,-0.6021,0.055024,0.789402,False
GENE0168,106.9452,0.5377,0.0551628,0.789402,False
GENE0773,104.7848,-1.1576,0.0553544,0.789402,False
GENE0560,145.5592,1.3514,0.0559359,0.791956,False
GENE1840,2877.2145,0.7612,0.0567888,0.798288,False
GENE0841,154.2595,1.0570,0.0576344,0.804429,False
GENE0185,165.7556,-0.7347,0.0589893,0.813989,False
GENE1468,74.0086,0.6563,0.0594683,0.813989,False
GENE0015,127.6255,0.5779,0.0599004,0.813989,False
GENE0280,457.9925,-0.4265,0.0599737,0.813989,False
GENE0437,1055.8654,0.6455,0.0606509,0.817344,False
GENE1955,111.9146,0.7445,0.0610516,0.817344,False
GENE0833,559.6887,1.2925,0.0623224,0.828719,False
GENE0999,202.5465,1.2291,0.0633899,0.829983,False
GENE1687,1032.4106,-0.8410,0.063489,0.829983,False
GENE1547,1192.3741,1.4820,0.0641834,0.829983,False
GENE0901,83.0945,1.3972,0.0642923,0.829983,False
GENE0692,7.5420,-0.5947,0.0651478,0.829983,False
GENE1788,19.7098,1.4810,0.0653389,0.829983,False
GENE1189,54.1703,-1.6528,0.0653696,0.829983,False
GENE1565,197.9889,0.6045,0.0661853,0.830817,False
GENE1384,50.3768,0.4007,0.0671141,0.830817,False
GENE1915,214.6410,0.6216,0.0674227,0.830817,False
GENE1143,154.3698,-1.3057,0.0680814,0.830817,False
GENE0251,186.5495,0.3928,0.0681145,0.830817,False
GENE0726,144.5514,0.7759,0.0681566,0.830817,False
GENE1185,42.9319,0.5360,0.0683905,0.830817,False
GENE0183,76.4553,1.6029,0.0697542,0.831631,False
GENE0451,275.3283,0.5846,0.0699053,0.831631,False
GENE0956,111.2874,0.9658,0.0699609,0.831631,False
GENE0758,179.4209,0.9234,0.0701477,0.831631,False
GENE0550,5015.4903,-0.9499,0.0726585,0.841451,False
GENE0979,249.9757,0.7200,0.0734443,0.841451,False
GENE1554,33.3920,0.9506,0.0736865,0.841451,False
GENE1244,51.3396,0.2216,0.0743033,0.841451,False
GENE1346,128.2706,-0.9333,0.0745056,0.841451,False
GENE1169,68.0654,0.8899,0.0746246,0.841451,False
GENE1498,140.3964,-0.8780,0.0746703,0.841451,False
GENE0661,5888.4258,0.1463,0.0748619,0.841451,False
GENE0592,43.3553,1.4674,0.0750508,0.841451,False
GENE1621,36.8008,-1.8779,0.0752517,0.841451,False
GENE0565,115.2732,1.5281,0.0767286,0.844797,False
GENE1911,54.1537,-0.7494,0.0772708,0.844797,False
GENE1317,372.1720,0.7697,0.0785933,0.844797,False
GENE1624,427.6118,-0.7950,0.0790816,0.844797,False
GENE0812,958.0324,-0.5762,0.0800485,0.844797,False
GENE1610,466.8657,0.8645,0.0806557,0.844797,False
GENE0681,1217.5884,-0.5011,0.0816518,0.844797,False
GENE0916,184.5982,-0.2819,0.0819343,0.844797,False
GENE1223,654.0801,-0.7963,0.0824089,0.844797,False
GENE1662,16.4214,-0.6519,0.0835736,0.844797,False
GENE0393,30.5480,0.8036,0.0841344,0.844797,False
GENE0241,81.9517,-0.5252,0.0842745,0.844797,False
GENE0041,935.4063,0.7461,0.0854306,0.844797,False
GENE0649,39.5755,0.7254,0.0857907,0.844797,False
GENE0308,188.0047,0.8880,0.0861614,0.844797,False
GENE1567,296.7580,-1.2549,0.0863269,0.844797,False
GENE1053,3115.5233,-0.6247,0.0868723,0.844797,False
GENE1433,16.1898,-0.5409,0.0875951,0.844797,False
GENE1607,62.0969,1.1581,0.0880661,0.844797,False
GENE1875,9807.8471,0.5195,0.0882462,0.844797,False
GENE0059,1211.8571,0.7997,0.0885976,0.844797,False
GENE0321,269.4261,0.6936,0.0888471,0.844797,False
GENE0542,2189.3797,-0.4505,0.088951,0.844797,False
GENE1495,183.2734,-0.3266,0.0898529,0.844797,False
GENE0420,449.1929,-0.4802,0.089944,0.844797,False
GENE1815,465.1254,0.8309,0.0900359,0.844797,False
GENE0825,41.1341,-0.8072,0.090061,0.844797,False
GENE1941,26.2171,-1.7053,0.0910368,0.844797,False
GENE0518,37.4032,-1.0242,0.0912896,0.844797,False
GENE0043,1023.1217,0.2476,0.0917641,0.844797,False
GENE1424,19.3019,-1.3963,0.0919868,0.844797,False
GENE0414,44.3072,0.6945,0.0921275,0.844797,False
GENE0891,234.0764,-0.9742,0.0921899,0.844797,False
GENE0878,44.1796,-1.1983,0.0923448,0.844797,False
GENE0745,1181.4151,0.5639,0.0923798,0.844797,False
GENE1963,207.7035,0.7506,0.0925129,0.844797,False
GENE0900,303.2448,-1.1227,0.0927151,0.844797,False
GENE1940,263.1220,0.8514,0.0935952,0.844797,False
GENE0235,2277.0261,0.6400,0.0938721,0.844797,False
GENE0507,1453.6623,-0.1703,0.0938958,0.844797,False
GENE1360,112.9970,-1.0506,0.0941296,0.844797,False
GENE1596,71.8711,-0.6153,0.0942143,0.844797,False
GENE0425,189.3912,-0.1901,0.0951342,0.844797,False
GENE1465,171.8488,0.3918,0.0957168,0.844797,False
GENE0330,115.0868,0.7865,0.0961569,0.844797,False
GENE1686,26.0919,-1.9659,0.0962474,0.844797,False
GENE0778,257.2152,1.4465,0.0967212,0.844797,False
GENE1704,106.0565,0.6563,0.0969934,0.844797,False
GENE1864,140.8703,0.6355,0.0970943,0.844797,False
GENE0593,66.7141,-0.6708,0.0973794,0.844797,False
GENE0430,197.3282,-0.9267,0.0990024,0.844797,False
GENE0584,321.9788,0.8329,0.0991087,0.844797,False
GENE1431,168.2407,-0.3244,0.0992366,0.844797,False
GENE0452,250.7634,-0.6634,0.0993595,0.844797,False
GENE1094,633.5473,-0.4030,0.0994601,0.844797,False
GENE0987,8.6054,-1.9715,0.0995899,0.844797,False
GENE0996,152.9793,-1.0756,0.101476,0.851784,False
GENE1517,23.5833,-1.5889,0.101584,0.851784,False
GENE0848,761.7166,0.3555,0.102003,0.851784,False
GENE0968,204.0269,-0.5120,0.102277,0.851784,False
GENE1153,625.6644,-1.0837,0.102601,0.851784,False
GENE0483,7.4527,1.2686,0.10301,0.851784,False
GENE0084,2146.5706,0.7764,0.103774,0.854509,False
GENE0919,123.8781,0.7074,0.104863,0.859881,False
GENE0665,79.7693,1.1745,0.106197,0.867199,False
GENE1066,8.3273,-2.6772,0.107579,0.873642,False
GENE0462,26.4163,-2.9401,0.107874,0.873642,False
GENE0969,14.0837,-1.5711,0.109018,0.875793,False
GENE0580,588.4275,0.8800,0.109765,0.875793,False
GENE0007,88.9341,1.1174,0.109894,0.875793,False
GENE1870,16.8878,1.8909,0.109947,0.875793,False
GENE1665,147.0160,0.7361,0.110364,0.875793,False
GENE1739,73.3360,0.5401,0.112375,0.880981,False
GENE1631,229.1433,-0.3188,0.112674,0.880981,False
GENE0284,152.5395,0.9124,0.112683,0.880981,False
GENE1747,368.9320,-0.7612,0.113865,0.880981,False
GENE0279,23.5537,-1.1923,0.114154,0.880981,False
GENE0819,176.6086,0.8725,0.114185,0.880981,False
GENE0428,24.9645,-2.4632,0.114728,0.880981,False
GENE1195,23.5561,0.7441,0.115051,0.880981,False
GENE0272,916.6259,0.4866,0.115355,0.880981,False
GENE1287,129.5959,1.0295,0.116157,0.880981,False
GENE0573,93.3388,0.8380,0.116191,0.880981,False
GENE1776,475.7446,-0.7366,0.116407,0.880981,False
GENE0941,12.3418,1.0966,0.117136,0.880981,False
GENE0882,26.0424,-0.8599,0.117647,0.880981,False
GENE0952,268.6677,0.5775,0.117733,0.880981,False
GENE1160,232.0465,0.5048,0.119204,0.888614,False
GENE0940,768.4193,-0.4492,0.119759,0.889377,False
GENE1664,506.5108,0.6689,0.121569,0.899362,False
GENE0132,196.3082,1.2931,0.123025,0.899362,False
GENE1229,60.1075,1.2743,0.123307,0.899362,False
GENE0938,335.5728,-0.6039,0.123384,0.899362,False
GENE0348,443.6546,-0.6578,0.123907,0.899362,False
GENE0504,121.1660,-1.0051,0.124658,0.899362,False
GENE1708,70.2947,-1.8285,0.125469,0.899362,False
GENE0613,67.7842,0.8417,0.126018,0.899362,False
GENE0296,1429.9789,0.4509,0.12613,0.899362,False
GENE1127,109.2377,1.5706,0.126835,0.899362,False
GENE0404,603.7823,1.1986,0.127412,0.899362,False
GENE0350,95.4062,0.5105,0.127876,0.899362,False
GENE1505,1049.2792,0.6968,0.128195,0.899362,False
GENE0793,1586.6869,-0.4676,0.129026,0.899362,False
GENE0482,44.3421,-0.8982,0.129695,0.899362,False
GENE0868,412.4164,0.5127,0.130001,0.899362,False
GENE1606,156.4787,0.9129,0.130287,0.899362,False
GENE0485,422.7404,-0.4500,0.130427,0.899362,False
GENE0211,61.0241,-0.5285,0.131703,0.899362,False
GENE0544,16.0900,-0.8859,0.133019,0.899362,False
GENE1106,273.3502,0.7357,0.133175,0.899362,False
GENE0288,203.7066,-0.5600,0.133513,0.899362,False
GENE0461,1186.3648,0.6295,0.133969,0.899362,False
GENE0894,9845.4660,-0.8111,0.134024,0.899362,False
GENE1566,1515.6284,0.4232,0.134031,0.899362,False
GENE0388,2711.8941,0.2297,0.135818,0.899362,False
GENE1070,2459.0260,-0.6002,0.136851,0.899362,False
GENE0548,1702.5689,-0.4438,0.138983,0.899362,False
GENE0566,694.5310,-0.5389,0.139806,0.899362,False
GENE1077,40.9980,1.5866,0.140668,0.899362,False
GENE0169,19632.6356,-0.5127,0.140764,0.899362,False
GENE0844,63.1799,0.8186,0.141274,0.899362,False
GENE1469,20.5518,0.9014,0.141804,0.899362,False
GENE1425,37.7220,-1.0604,0.14206,0.899362,False
GENE1954,56.2811,-0.7363,0.142129,0.899362,False
GENE0709,25.7664,-0.5840,0.142405,0.899362,False
GENE0541,1034.9429,-0.3522,0.143193,0.899362,False
GENE1876,1672.5857,0.5767,0.143211,0.899362,False
GENE0674,18.1904,1.0156,0.144588,0.899362,False
GENE1939,29.3933,-0.7171,0.145385,0.899362,False
GENE0976,883.9569,-0.7838,0.146385,0.899362,False
GENE0458,478.2606,0.7393,0.1469,0.899362,False
GENE1670,1116.6176,0.4937,0.147025,0.899362,False
GENE1867,1122.6164,-0.9316,0.147107,0.899362,False
GENE0207,99.9549,0.9708,0.147257,0.899362,False
GENE1026,82.8492,0.4186,0.147479,0.899362,False
GENE1362,476.0037,-0.3720,0.147598,0.899362,False
GENE1811,96.2204,0.5194,0.147901,0.899362,False
GENE0574,836.3980,-0.4961,0.147922,0.899362,False
GENE0577,249.2022,-0.6715,0.147978,0.899362,False
GENE1441,250.4001,0.5959,0.148069,0.899362,False
GENE1349,118.6232,0.4867,0.148367,0.899362,False
GENE0085,830.4079,-0.3352,0.148392,0.899362,False
GENE0817,168.7266,-0.6482,0.148546,0.899362,False
GENE0495,122.6582,0.7058,0.149932,0.899362,False
GENE1191,183.7247,-0.7500,0.149982,0.899362,False
GENE1165,1057.1299,0.6140,0.150059,0.899362,False
GENE0474,57.9378,0.7547,0.150212,0.899362,False
GENE0525,150.5087,0.5703,0.15036,0.899362,False
GENE1371,46.3361,-1.1585,0.151024,0.899362,False
GENE1038,537.9054,0.8119,0.151333,0.899362,False
GENE1024,503.3577,0.6022,0.15139,0.899362,False
GENE1338,61.3650,0.4989,0.151904,0.899362,False
GENE0394,104.6223,-0.9210,0.151933,0.899362,False
GENE1681,25.3075,-2.5412,0.151959,0.899362,False
GENE1795,281.7417,-0.3512,0.153932,0.899362,False
GENE0924,23.5993,0.8908,0.154066,0.899362,False
GENE0170,5051.0804,-0.6231,0.154309,0.899362,False
GENE0262,1916.5283,0.4391,0.154339,0.899362,False
GENE0746,128.8002,-0.7055,0.15443,0.899362,False
GENE0108,545.2061,-0.5101,0.155656,0.899362,False
GENE1982,279.2545,0.4189,0.155725,0.899362,False
GENE0666,16.9395,0.7930,0.156316,0.899362,False
GENE1197,9232.6399,0.7123,0.157008,0.899362,False
GENE0590,64.0322,0.6689,0.157253,0.899362,False
GENE1752,45.2248,0.5574,0.157816,0.899362,False
GENE1464,70.7022,-0.8024,0.15796,0.899362,False
GENE0663,161.1444,-0.3516,0.15817,0.899362,False
GENE1045,1652.6422,0.2231,0.158191,0.899362,False
GENE1074,373.1401,0.8886,0.159037,0.899362,False
GENE1073,6.9783,1.2278,0.159207,0.899362,False
GENE0411,112.4330,-0.4302,0.159409,0.899362,False
GENE0595,2717.4947,0.3273,0.159425,0.899362,False
GENE1983,106.7715,-0.7741,0.159759,0.899362,False
GENE1576,26.4453,1.4864,0.159948,0.899362,False
GENE1942,202.8230,0.3668,0.160913,0.90062,False
GENE0277,505.7591,0.5420,0.161086,0.90062,False
GENE1714,88.2360,0.7999,0.162544,0.906193,False
GENE0579,1091.5758,0.9688,0.165249,0.916689,False
GENE0871,96.9977,-0.6513,0.166658,0.916689,False
GENE1842,109.4485,-0.6171,0.167882,0.916689,False
GENE0165,85.3780,0.6979,0.168245,0.916689,False
GENE1079,245.5630,0.6273,0.168614,0.916689,False
GENE1444,59.0960,-0.6397,0.168991,0.916689,False
GENE0268,1216.9208,-0.3013,0.169061,0.916689,False
GENE0910,16.7335,-1.7786,0.169262,0.916689,False
GENE0422,711.0700,0.6091,0.170929,0.916689,False
GENE0628,452.0903,-0.8523,0.171351,0.916689,False
GENE0582,2466.9464,-0.3867,0.171979,0.916689,False
GENE0179,1833.8885,0.4195,0.172356,0.916689,False
GENE0521,68.9696,0.6217,0.172404,0.916689,False
GENE0629,99.1186,0.9003,0.172779,0.916689,False
GENE0134,112.8415,-1.1679,0.173777,0.916689,False
GENE0889,55.7223,-1.0912,0.173796,0.916689,False
GENE0409,2211.2124,0.5352,0.17382,0.916689,False
GENE1492,457.2617,-0.3878,0.174314,0.916689,False
GENE1027,563.8492,0.6465,0.174949,0.916689,False
GENE1327,584.1920,-0.3463,0.175787,0.916689,False
GENE0537,313.4467,0.5790,0.176122,0.916689,False
GENE0503,20.7877,0.8480,0.176247,0.916689,False
GENE1846,246.7901,0.5846,0.177058,0.916689,False
GENE1592,3193.4189,-0.2084,0.177633,0.916689,False
GENE0315,7.0888,0.5170,0.177777,0.916689,False
GENE1650,68.7907,-0.5617,0.177997,0.916689,False
GENE0874,173.1007,0.8457,0.179952,0.916689,False
GENE0794,176.0334,-0.7247,0.180116,0.916689,False
GENE1543,20.3466,-0.6920,0.180218,0.916689,False
GENE0369,403.7444,-0.5364,0.180255,0.916689,False
GENE0357,322.5616,1.4989,0.180493,0.916689,False
GENE0717,303.7995,-0.6365,0.180552,0.916689,False
GENE0892,33.2780,0.5653,0.181489,0.916689,False
GENE0017,22.4501,-1.5136,0.181575,0.916689,False
GENE0686,672.5311,0.5940,0.181827,0.916689,False
GENE1961,214.1799,-0.7569,0.181998,0.916689,False
GENE1394,610.2179,0.4970,0.182044,0.916689,False
GENE0762,985.3913,0.3257,0.182309,0.916689,False
GENE1148,110.6928,0.4862,0.183024,0.916689,False
GENE1146,716.3343,-0.4926,0.184032,0.916689,False
GENE0466,9.9039,-0.9083,0.184507,0.916689,False
GENE1857,763.4125,-0.6099,0.184619,0.916689,False
GENE0172,416.9286,-0.3617,0.184663,0.916689,False
GENE1312,1111.4809,-0.3558,0.184922,0.916689,False
GENE1140,16.1014,2.0286,0.185697,0.917575,False
GENE0953,25.4835,-0.6161,0.186033,0.917575,False
GENE1705,53.0395,1.0993,0.186567,0.917911,False
GENE0697,627.5125,0.7536,0.187662,0.920993,False
GENE0101,624.8362,0.3524,0.189773,0.924846,False
GENE1935,145.0572,-0.7218,0.189898,0.924846,False
GENE1409,618.4269,-0.9262,0.190316,0.924846,False
GENE1429,67.8065,-0.8446,0.190327,0.924846,False
GENE1773,3810.8565,0.4659,0.19122,0.925022,False
GENE0075,14.4968,-0.5739,0.191427,0.925022,False
GENE1538,762.8718,-0.2684,0.192708,0.925022,False
GENE1032,69.8607,0.3264,0.193067,0.925022,False
GENE1819,227.1418,0.5026,0.193139,0.925022,False
GENE0408,595.5155,-0.6142,0.194984,0.925022,False
GENE1602,213.5167,0.7226,0.19559,0.925022,False
GENE0352,64.3178,-0.8626,0.196404,0.925022,False
GENE0588,431.7789,0.4960,0.196567,0.925022,False
GENE1818,300.5471,0.4556,0.19721,0.925022,False
GENE0939,354.3688,0.3590,0.198021,0.925022,False
GENE0260,699.9523,0.6255,0.198704,0.925022,False
GENE0213,664.8739,-0.5313,0.199622,0.925022,False
GENE1744,221.0072,0.1485,0.200781,0.925022,False
GENE0383,405.9277,-0.9643,0.201516,0.925022,False
GENE0822,80.7159,0.7610,0.202961,0.925022,False
GENE1523,111.8737,-0.3591,0.203411,0.925022,False
GENE1677,210.0637,-0.3380,0.204638,0.925022,False
GENE0192,26.4441,1.0710,0.204884,0.925022,False
GENE0011,4305.8314,-0.3336,0.204894,0.925022,False
GENE1512,70.0409,0.7751,0.204986,0.925022,False
GENE0881,1711.3807,0.2570,0.205422,0.925022,False
GENE1548,239.4030,0.5126,0.205649,0.925022,False
GENE0140,35.9897,0.9745,0.20573,0.925022,False
GENE0957,26.3215,-0.6533,0.207265,0.925022,False
GENE0386,187.1924,-0.6981,0.207277,0.925022,False
GENE0203,27.5974,-0.5038,0.207925,0.925022,False
GENE0319,178.8325,-0.6843,0.208313,0.925022,False
GENE1922,386.4060,-0.9431,0.208882,0.925022,False
GENE0238,810.7463,0.3495,0.209018,0.925022,False
GENE1105,762.2036,-0.5340,0.209477,0.925022,False
GENE0586,107.2125,-0.2802,0.209978,0.925022,False
GENE1454,138.7876,-0.8408,0.210191,0.925022,False
GENE0197,38.3649,0.7586,0.210195,0.925022,False
GENE1898,219.9818,-0.3689,0.210662,0.925022,False
GENE1459,1424.3469,-0.3623,0.211269,0.925022,False
GENE0704,53.8863,0.7209,0.213446,0.925022,False
GENE1962,26.8281,-1.0897,0.213623,0.925022,False
GENE1151,49.5207,0.9175,0.213817,0.925022,False
GENE1302,724.2194,0.4164,0.213834,0.925022,False
GENE1019,72.0131,-0.9721,0.214017,0.925022,False
GENE1284,61.0631,-0.6685,0.214098,0.925022,False
GENE1999,2424.9552,0.3773,0.214239,0.925022,False
GENE1835,18.6080,-2.5142,0.214255,0.925022,False
GENE1690,176.6226,0.6360,0.214302,0.925022,False
GENE0002,169.7161,-0.9622,0.214926,0.925022,False
GENE0116,6.9483,1.2183,0.215343,0.925022,False
GENE0973,1323.2710,-0.3116,0.216302,0.925022,False
GENE1329,297.1903,-0.4446,0.216527,0.925022,False
GENE0549,29.8378,1.9674,0.216562,0.925022,False
GENE1391,713.6718,0.4494,0.216797,0.925022,False
GENE0606,6.3968,-2.2855,0.216797,0.925022,False
GENE0189,1083.8574,0.5620,0.216949,0.925022,False
GENE1463,675.7177,-0.5633,0.216988,0.925022,False
GENE0702,115.7571,-0.7871,0.217218,0.925022,False
GENE0761,81.0024,-0.5750,0.218163,0.925022,False
GENE1649,310.9049,0.4829,0.219302,0.925022,False
GENE1407,119.0453,-0.2931,0.219321,0.925022,False
GENE0054,327.0124,-0.7276,0.219725,0.925022,False
GENE0440,1374.6679,-0.5356,0.219804,0.925022,False
GENE0063,146.9786,0.3515,0.219981,0.925022,False
GENE1937,2496.8336,-0.1561,0.220247,0.925022,False
GENE0739,2320.1293,-0.5844,0.220369,0.925022,False
GENE1470,51.2902,2.2067,0.220445,0.925022,False
GENE1432,458.5387,-0.3450,0.221765,0.928583,False
GENE1917,114.9438,-0.6919,0.222721,0.930112,False
GENE0180,303.5346,0.4566,0.223404,0.930112,False
GENE1880,1490.0984,-0.5683,0.223548,0.930112,False
GENE0718,27.7499,1.5330,0.224046,0.930217,False
GENE1829,26.4341,1.2174,0.225054,0.930954,False
GENE1985,40.0819,0.3070,0.225859,0.930954,False
GENE0367,197.1644,-0.8395,0.226189,0.930954,False
GENE1684,92.4709,0.7835,0.226518,0.930954,False
